"ORIGIN_AIRPORT_ID","FL_DATE","N_FLIGHTS","N_CANCELATIONS","Description","CANC_RATE"
12892,2010 Feb,14795,364,"Los Angeles, CA: Los Angeles International",0.024602906387293
12892,2018 Dec,18339,119,"Los Angeles, CA: Los Angeles International",0.00648890342984896
12892,2020 Jan,17799,119,"Los Angeles, CA: Los Angeles International",0.00668576886341929
12892,2019 Oct,18244,139,"Los Angeles, CA: Los Angeles International",0.00761894321420741
12892,2014 Apr,18544,144,"Los Angeles, CA: Los Angeles International",0.00776531492666091
12892,2011 May,18080,213,"Los Angeles, CA: Los Angeles International",0.0117809734513274
12892,2019 Feb,16307,343,"Los Angeles, CA: Los Angeles International",0.0210339118170111
12892,2017 May,18169,201,"Los Angeles, CA: Los Angeles International",0.0110627992734878
12892,2015 May,17977,97,"Los Angeles, CA: Los Angeles International",0.00539578350114035
12892,2015 Oct,17728,75,"Los Angeles, CA: Los Angeles International",0.00423059566787004
12892,2015 Mar,18014,183,"Los Angeles, CA: Los Angeles International",0.0101587654046852
12892,2013 Dec,19052,219,"Los Angeles, CA: Los Angeles International",0.0114948561830779
12892,2012 Feb,16928,156,"Los Angeles, CA: Los Angeles International",0.00921550094517958
12892,2018 Sep,17875,128,"Los Angeles, CA: Los Angeles International",0.00716083916083916
12892,2013 Aug,20395,178,"Los Angeles, CA: Los Angeles International",0.00872762932091199
12892,2010 Oct,16879,142,"Los Angeles, CA: Los Angeles International",0.00841282066473132
12892,2012 Jul,20377,210,"Los Angeles, CA: Los Angeles International",0.0103057368601855
12892,2016 May,17692,128,"Los Angeles, CA: Los Angeles International",0.00723490843319014
12892,2012 Jan,17841,194,"Los Angeles, CA: Los Angeles International",0.0108738299422678
12892,2015 Jun,18533,280,"Los Angeles, CA: Los Angeles International",0.015108185399018
12892,2013 Jan,17563,144,"Los Angeles, CA: Los Angeles International",0.00819905483117918
12892,2010 May,16926,147,"Los Angeles, CA: Los Angeles International",0.0086848635235732
12892,2020 Sep,8264,25,"Los Angeles, CA: Los Angeles International",0.00302516940948693
12892,2013 Mar,18544,183,"Los Angeles, CA: Los Angeles International",0.00986842105263158
12892,2016 Feb,15407,129,"Los Angeles, CA: Los Angeles International",0.00837281755046407
12892,2012 Mar,18978,216,"Los Angeles, CA: Los Angeles International",0.0113815997470756
12892,2019 Mar,18800,335,"Los Angeles, CA: Los Angeles International",0.0178191489361702
12892,2018 Jul,20033,208,"Los Angeles, CA: Los Angeles International",0.0103828682673589
12892,2013 Oct,18971,139,"Los Angeles, CA: Los Angeles International",0.00732697274787834
12892,2014 Jul,20363,196,"Los Angeles, CA: Los Angeles International",0.00962530079064971
12892,2017 Jun,18561,129,"Los Angeles, CA: Los Angeles International",0.0069500565702279
12892,2016 Jul,19920,228,"Los Angeles, CA: Los Angeles International",0.0114457831325301
12892,2016 Jan,16427,299,"Los Angeles, CA: Los Angeles International",0.0182017410360991
12892,2020 May,3881,150,"Los Angeles, CA: Los Angeles International",0.0386498325173924
12892,2020 Aug,9445,57,"Los Angeles, CA: Los Angeles International",0.00603493912122816
12953,2012 Sep,8398,188,"New York, NY: LaGuardia",0.022386282448202
12953,2010 Jul,8606,383,"New York, NY: LaGuardia",0.044503834534046
12953,2015 Apr,9503,214,"New York, NY: LaGuardia",0.0225192044617489
12953,2010 Dec,8547,863,"New York, NY: LaGuardia",0.100971100971101
12953,2016 Aug,8688,274,"New York, NY: LaGuardia",0.0315377532228361
12953,2013 Sep,9116,242,"New York, NY: LaGuardia",0.0265467310223782
12953,2019 Jan,13872,497,"New York, NY: LaGuardia",0.0358275663206459
12953,2011 Apr,8139,336,"New York, NY: LaGuardia",0.0412827128639882
12953,2014 May,9078,344,"New York, NY: LaGuardia",0.0378938092090769
12953,2018 Jan,13587,949,"New York, NY: LaGuardia",0.0698461764922352
12953,2016 Oct,7985,151,"New York, NY: LaGuardia",0.0189104571070758
12953,2019 Jul,14711,811,"New York, NY: LaGuardia",0.05512881517232
12953,2011 Feb,7647,663,"New York, NY: LaGuardia",0.0867006669282071
12953,2013 Feb,7423,380,"New York, NY: LaGuardia",0.0511922403340967
12953,2011 Jul,8446,359,"New York, NY: LaGuardia",0.042505327965901
12953,2015 Dec,7813,163,"New York, NY: LaGuardia",0.0208626647894535
12953,2017 Jan,7398,222,"New York, NY: LaGuardia",0.0300081103000811
12953,2011 Jan,8285,911,"New York, NY: LaGuardia",0.109957754978877
12953,2012 Apr,8086,76,"New York, NY: LaGuardia",0.00939896116744991
12953,2018 Nov,13929,365,"New York, NY: LaGuardia",0.0262043219182999
12953,2011 Oct,8094,179,"New York, NY: LaGuardia",0.0221151470224858
12953,2014 Sep,8550,115,"New York, NY: LaGuardia",0.0134502923976608
12953,2010 Jun,8550,254,"New York, NY: LaGuardia",0.0297076023391813
12953,2019 Jun,14549,516,"New York, NY: LaGuardia",0.0354663550759502
12953,2013 Jul,8927,485,"New York, NY: LaGuardia",0.0543295620029125
12953,2017 Oct,8230,153,"New York, NY: LaGuardia",0.0185905224787363
12953,2019 Mar,14792,342,"New York, NY: LaGuardia",0.0231206057328286
12953,2019 Dec,13705,212,"New York, NY: LaGuardia",0.0154688070047428
12953,2016 Mar,8302,99,"New York, NY: LaGuardia",0.0119248373885811
12953,2017 Apr,7542,239,"New York, NY: LaGuardia",0.0316892071068682
12953,2019 Oct,14701,157,"New York, NY: LaGuardia",0.0106795456091422
12953,2018 Aug,15501,1146,"New York, NY: LaGuardia",0.0739307141474744
12953,2020 Apr,3204,2121,"New York, NY: LaGuardia",0.661985018726592
12953,2011 Sep,7972,211,"New York, NY: LaGuardia",0.0264676367285499
12953,2011 Mar,8633,247,"New York, NY: LaGuardia",0.0286111432873856
12953,2018 Apr,14369,481,"New York, NY: LaGuardia",0.0334748416730461
12953,2020 Jan,13836,101,"New York, NY: LaGuardia",0.00729979762937265
12953,2020 Jul,4190,96,"New York, NY: LaGuardia",0.0229116945107399
12953,2015 Sep,8434,119,"New York, NY: LaGuardia",0.0141095565567939
12953,2010 Apr,8628,68,"New York, NY: LaGuardia",0.00788131664348632
12953,2014 Mar,9014,308,"New York, NY: LaGuardia",0.0341690703350344
12953,2012 Dec,7992,147,"New York, NY: LaGuardia",0.0183933933933934
12953,2011 Aug,8621,863,"New York, NY: LaGuardia",0.100104396241735
12953,2020 Jun,2010,3,"New York, NY: LaGuardia",0.00149253731343284
12953,2013 Nov,8851,119,"New York, NY: LaGuardia",0.0134448084962151
12953,2011 Jun,8331,353,"New York, NY: LaGuardia",0.0423718641219542
12953,2019 May,15018,448,"New York, NY: LaGuardia",0.0298308696231189
12953,2015 Aug,9241,188,"New York, NY: LaGuardia",0.0203441186018829
12953,2020 Nov,3656,27,"New York, NY: LaGuardia",0.00738512035010941
12953,2018 Jun,14669,286,"New York, NY: LaGuardia",0.0194968982207376
12953,2011 May,8396,306,"New York, NY: LaGuardia",0.0364459266317294
12953,2016 Sep,8156,55,"New York, NY: LaGuardia",0.00674350171652771
12953,2012 Nov,8063,431,"New York, NY: LaGuardia",0.0534540493612799
12953,2019 Sep,14083,198,"New York, NY: LaGuardia",0.0140595043669673
12953,2010 Feb,7449,1070,"New York, NY: LaGuardia",0.143643442072761
12953,2011 Nov,7680,135,"New York, NY: LaGuardia",0.017578125
12953,2018 May,14709,324,"New York, NY: LaGuardia",0.0220273302059963
12953,2020 May,702,49,"New York, NY: LaGuardia",0.0698005698005698
12953,2016 Dec,7394,84,"New York, NY: LaGuardia",0.0113605626183392
12953,2012 Mar,8204,125,"New York, NY: LaGuardia",0.015236470014627
12953,2015 Jan,9517,882,"New York, NY: LaGuardia",0.0926762635284228
12953,2014 Jun,9097,349,"New York, NY: LaGuardia",0.0383642959217324
12953,2010 Nov,8357,112,"New York, NY: LaGuardia",0.0134019384946751
12953,2017 Feb,6923,354,"New York, NY: LaGuardia",0.0511339014877943
12953,2012 Oct,8745,996,"New York, NY: LaGuardia",0.113893653516295
12953,2010 Aug,8950,231,"New York, NY: LaGuardia",0.0258100558659218
12953,2014 Jan,8530,1021,"New York, NY: LaGuardia",0.119695193434936
12953,2014 Dec,9221,206,"New York, NY: LaGuardia",0.0223403101615877
12953,2015 Jul,9474,323,"New York, NY: LaGuardia",0.0340933080008444
12953,2016 Apr,7752,100,"New York, NY: LaGuardia",0.0128998968008256
12953,2012 Feb,7515,111,"New York, NY: LaGuardia",0.0147704590818363
12953,2012 Jul,8667,338,"New York, NY: LaGuardia",0.0389985000576901
12953,2018 Mar,14723,1676,"New York, NY: LaGuardia",0.113835495483257
12953,2012 Aug,9280,344,"New York, NY: LaGuardia",0.0370689655172414
12953,2013 Dec,9067,371,"New York, NY: LaGuardia",0.0409176133230396
12953,2020 Mar,13963,2740,"New York, NY: LaGuardia",0.196232901238989
12953,2014 Oct,8987,139,"New York, NY: LaGuardia",0.0154667853566262
